ID,Name,Internal Name
1400,Green Dungeon Table,GreenDungeonTable
1401,Green Dungeon Work Bench,GreenDungeonWorkBench
1402,Pink Dungeon Chair,PinkDungeonChair
1403,Pink Dungeon Table,PinkDungeonTable
1404,Pink Dungeon Work Bench,PinkDungeonWorkBench
1405,Blue Dungeon Candle,BlueDungeonCandle
1406,Green Dungeon Candle,GreenDungeonCandle
1407,Pink Dungeon Candle,PinkDungeonCandle
1408,Blue Dungeon Vase,BlueDungeonVase
1409,Green Dungeon Vase,GreenDungeonVase
1410,Pink Dungeon Vase,PinkDungeonVase
1411,Blue Dungeon Door,BlueDungeonDoor
1412,Green Dungeon Door,GreenDungeonDoor
1413,Pink Dungeon Door,PinkDungeonDoor
1414,Blue Dungeon Bookcase,BlueDungeonBookcase
1415,Green Dungeon Bookcase,GreenDungeonBookcase
1416,Pink Dungeon Bookcase,PinkDungeonBookcase
1417,Catacomb,Catacomb
1418,Dungeon Shelf,DungeonShelf
1419,Skellington J Skellingsworth,SkellingtonJSkellingsworth
1420,The Cursed Man,TheCursedMan
1421,The Eye Sees the End,TheEyeSeestheEnd
1422,Something Evil is Watching You,SomethingEvilisWatchingYou
1423,The Twins Have Awoken,TheTwinsHaveAwoken
1424,The Screamer,TheScreamer
1425,Goblins Playing Poker,GoblinsPlayingPoker
1426,Dryadisque,Dryadisque
1427,Sunflowers,Sunflowers
1428,Terrarian Gothic,TerrarianGothic
1429,Beanie,Beanie
1430,Imbuing Station,ImbuingStation
1431,Star in a Bottle,StarinaBottle
1432,Empty Bullet,EmptyBullet
1433,Impact,Impact
1434,Powered by Birds,PoweredbyBirds
1435,The Destroyer,TheDestroyer
1436,The Persistency of Eyes,ThePersistencyofEyes
1437,Unicorn Crossing the Hallows,UnicornCrossingtheHallows
1438,Great Wave,GreatWave
1439,Starry Night,StarryNight
1440,Guide Picasso,GuidePicasso
1441,The Guardian's Gaze,TheGuardiansGaze
1442,Father of Someone,FatherofSomeone
1443,Nurse Lisa,NurseLisa
1444,Shadowbeam Staff,ShadowbeamStaff
1445,Inferno Fork,InfernoFork
1446,Spectre Staff,SpectreStaff
1447,Wooden Fence,WoodenFence
1448,Lead Fence,LeadFence
1449,Bubble Machine,BubbleMachine
1450,Bubble Wand,BubbleWand
1451,Marching Bones Banner,MarchingBonesBanner
1452,Necromantic Sign,NecromanticSign
1453,Rusted Company Standard,RustedCompanyStandard
1454,Ragged Brotherhood Sigil,RaggedBrotherhoodSigil
1455,Molten Legion Flag,MoltenLegionFlag
1456,Diabolic Sigil,DiabolicSigil
1457,Obsidian Platform,ObsidianPlatform
1458,Obsidian Door,ObsidianDoor
1459,Obsidian Chair,ObsidianChair
1460,Obsidian Table,ObsidianTable
1461,Obsidian Work Bench,ObsidianWorkBench
1462,Obsidian Vase,ObsidianVase
1463,Obsidian Bookcase,ObsidianBookcase
1464,Hellbound Banner,HellboundBanner
1465,Hell Hammer Banner,HellHammerBanner
1466,Helltower Banner,HelltowerBanner
1467,Lost Hopes of Man Banner,LostHopesofManBanner
1468,Obsidian Watcher Banner,ObsidianWatcherBanner
1469,Lava Erupts Banner,LavaEruptsBanner
1470,Blue Dungeon Bed,BlueDungeonBed
1471,Green Dungeon Bed,GreenDungeonBed
1472,Pink Dungeon Bed,PinkDungeonBed
1473,Obsidian Bed,ObsidianBed
1474,Waldo,Waldo
1475,Darkness,Darkness
1476,Dark Soul Reaper,DarkSoulReaper
1477,Land,Land
1478,Trapped Ghost,TrappedGhost
1479,Demon's Eye,DemonsEye
1480,Finding Gold,FindingGold
1481,First Encounter,FirstEncounter
1482,Good Morning,GoodMorning
1483,Underground Reward,UndergroundReward
1484,Through the Window,ThroughtheWindow
1485,Place Above the Clouds,PlaceAbovetheClouds
1486,Do Not Step on the Grass,DoNotStepontheGrass
1487,Cold Waters in the White Land,ColdWatersintheWhiteLand
1488,Lightless Chasms,LightlessChasms
1489,The Land of Deceiving Looks,TheLandofDeceivingLooks
1490,Daylight,Daylight
1491,Secret of the Sands,SecretoftheSands
1492,Deadland Comes Alive,DeadlandComesAlive
1493,Evil Presence,EvilPresence
1494,Sky Guardian,SkyGuardian
1495,American Explosive,AmericanExplosive
1496,Discover,Discover
1497,Hand Earth,HandEarth
1498,Old Miner,OldMiner
1499,Skelehead,Skelehead
1500,Facing the Cerebral Mastermind,FacingtheCerebralMastermind
1501,Lake of Fire,LakeofFire
1502,Trio Super Heroes,TrioSuperHeroes
1503,Spectre Hood,SpectreHood
1504,Spectre Robe,SpectreRobe
1505,Spectre Pants,SpectrePants
1506,Spectre Pickaxe,SpectrePickaxe
1507,Spectre Hamaxe,SpectreHamaxe
1508,Ectoplasm,Ectoplasm
1509,Gothic Chair,GothicChair
1510,Gothic Table,GothicTable
1511,Gothic Work Bench,GothicWorkBench
1512,Gothic Bookcase,GothicBookcase
1513,Paladin's Hammer,PaladinsHammer
1514,SWAT Helmet,SWATHelmet
1515,Bee Wings,BeeWings
1516,Giant Harpy Feather,GiantHarpyFeather
1517,Bone Feather,BoneFeather
1518,Fire Feather,FireFeather
1519,Ice Feather,IceFeather
1520,Broken Bat Wing,BrokenBatWing
1521,Tattered Bee Wing,TatteredBeeWing
1522,Large Amethyst,LargeAmethyst
1523,Large Topaz,LargeTopaz
1524,Large Sapphire,LargeSapphire
1525,Large Emerald,LargeEmerald
1526,Large Ruby,LargeRuby
1527,Large Diamond,LargeDiamond
1528,Jungle Chest,JungleChest
1529,Corruption Chest,CorruptionChest
1530,Crimson Chest,CrimsonChest
1531,Hallowed Chest,HallowedChest
1532,Ice Chest,FrozenChest
1533,Jungle Key,JungleKey
1534,Corruption Key,CorruptionKey
1535,Crimson Key,CrimsonKey
1536,Hallowed Key,HallowedKey
1537,Frozen Key,FrozenKey
1538,Imp Face,ImpFace
1539,Ominous Presence,OminousPresence
1540,Shining Moon,ShiningMoon
1541,Living Gore,LivingGore
1542,Flowing Magma,FlowingMagma
1543,Spectre Paintbrush,SpectrePaintbrush
1544,Spectre Paint Roller,SpectrePaintRoller
1545,Spectre Paint Scraper,SpectrePaintScraper
1546,Shroomite Headgear,ShroomiteHeadgear
1547,Shroomite Mask,ShroomiteMask
1548,Shroomite Helmet,ShroomiteHelmet
1549,Shroomite Breastplate,ShroomiteBreastplate
1550,Shroomite Leggings,ShroomiteLeggings
1551,Autohammer,Autohammer
1552,Shroomite Bar,ShroomiteBar
1553,S.D.M.G.,SDMG
1554,Cenx's Tiara,CenxsTiara
1555,Cenx's Breastplate,CenxsBreastplate
1556,Cenx's Leggings,CenxsLeggings
1557,Crowno's Mask,CrownosMask
1558,Crowno's Breastplate,CrownosBreastplate
1559,Crowno's Leggings,CrownosLeggings
1560,Will's Helmet,WillsHelmet
1561,Will's Breastplate,WillsBreastplate
1562,Will's Leggings,WillsLeggings
1563,Jim's Helmet,JimsHelmet
1564,Jim's Breastplate,JimsBreastplate
1565,Jim's Leggings,JimsLeggings
1566,Aaron's Helmet,AaronsHelmet
1567,Aaron's Breastplate,AaronsBreastplate
1568,Aaron's Leggings,AaronsLeggings
1569,Vampire Knives,VampireKnives
1570,Broken Hero Sword,BrokenHeroSword
1571,Scourge of the Corruptor,ScourgeoftheCorruptor
1572,Staff of the Frost Hydra,StaffoftheFrostHydra
1573,The Creation of the Guide,TheCreationoftheGuide
1574,The Merchant,TheMerchant
1575,Crowno Devours His Lunch,CrownoDevoursHisLunch
1576,Rare Enchantment,RareEnchantment
1577,Glorious Night,GloriousNight
1578,Sweetheart Necklace,SweetheartNecklace
1579,Flurry Boots,FlurryBoots
1580,D-Town's Helmet,DTownsHelmet
1581,D-Town's Breastplate,DTownsBreastplate
1582,D-Town's Leggings,DTownsLeggings
1583,D-Town's Wings,DTownsWings
1584,Will's Wings,WillsWings
1585,Crowno's Wings,CrownosWings
1586,Cenx's Wings,CenxsWings
1587,Cenx's Dress,CenxsDress
1588,Cenx's Dress Pants,CenxsDressPants
1589,Palladium Column,PalladiumColumn
1590,Palladium Column Wall,PalladiumColumnWall
1591,Bubblegum Block,BubblegumBlock
1592,Bubblegum Block Wall,BubblegumBlockWall
1593,Titanstone Block,TitanstoneBlock
1594,Titanstone Block Wall,TitanstoneBlockWall
1595,Magic Cuffs,MagicCuffs
1596,Music Box (Snow),MusicBoxSnow
1597,Music Box (Space Night),MusicBoxSpace
1598,Music Box (Crimson),MusicBoxCrimson
1599,Music Box (Boss 4),MusicBoxBoss4
1600,Music Box (Alt Overworld Day),MusicBoxAltOverworldDay
1601,Music Box (Rain),MusicBoxRain
1602,Music Box (Ice),MusicBoxIce
1603,Music Box (Desert),MusicBoxDesert
1604,Music Box (Ocean Day),MusicBoxOcean
1605,Music Box (Dungeon),MusicBoxDungeon
1606,Music Box (Plantera),MusicBoxPlantera
1607,Music Box (Boss 5),MusicBoxBoss5
1608,Music Box (Temple),MusicBoxTemple
1609,Music Box (Eclipse),MusicBoxEclipse
1610,Music Box (Mushrooms),MusicBoxMushrooms
1611,Butterfly Dust,ButterflyDust
1612,Ankh Charm,AnkhCharm
1613,Ankh Shield,AnkhShield
1614,Blue Flare,BlueFlare
1615,Angler Fish Banner,AnglerFishBanner
1616,Angry Nimbus Banner,AngryNimbusBanner
1617,Anomura Fungus Banner,AnomuraFungusBanner
1618,Antlion Banner,AntlionBanner
1619,Arapaima Banner,ArapaimaBanner
1620,Armored Skeleton Banner,ArmoredSkeletonBanner
1621,Cave Bat Banner,BatBanner
1622,Bird Banner,BirdBanner
1623,Black Recluse Banner,BlackRecluseBanner
1624,Blood Feeder Banner,BloodFeederBanner
1625,Blood Jelly Banner,BloodJellyBanner
1626,Blood Crawler Banner,BloodCrawlerBanner
1627,Bone Serpent Banner,BoneSerpentBanner
1628,Bunny Banner,BunnyBanner
1629,Chaos Elemental Banner,ChaosElementalBanner
1630,Mimic Banner,MimicBanner
1631,Clown Banner,ClownBanner
1632,Corrupt Bunny Banner,CorruptBunnyBanner
1633,Corrupt Goldfish Banner,CorruptGoldfishBanner
1634,Crab Banner,CrabBanner
1635,Crimera Banner,CrimeraBanner
1636,Crimson Axe Banner,CrimsonAxeBanner
1637,Cursed Hammer Banner,CursedHammerBanner
1638,Demon Banner,DemonBanner
1639,Demon Eye Banner,DemonEyeBanner
1640,Derpling Banner,DerplingBanner
1641,Eater of Souls Banner,EaterofSoulsBanner
1642,Enchanted Sword Banner,EnchantedSwordBanner
1643,Frozen Zombie Banner,ZombieEskimoBanner
1644,Face Monster Banner,FaceMonsterBanner
1645,Floaty Gross Banner,FloatyGrossBanner
1646,Flying Fish Banner,FlyingFishBanner
1647,Flying Snake Banner,FlyingSnakeBanner
1648,Frankenstein Banner,FrankensteinBanner
1649,Fungi Bulb Banner,FungiBulbBanner
1650,Fungo Fish Banner,FungoFishBanner
1651,Gastropod Banner,GastropodBanner
1652,Goblin Thief Banner,GoblinThiefBanner
1653,Goblin Sorcerer Banner,GoblinSorcererBanner
1654,Goblin Peon Banner,GoblinPeonBanner
1655,Goblin Scout Banner,GoblinScoutBanner
1656,Goblin Warrior Banner,GoblinWarriorBanner
1657,Goldfish Banner,GoldfishBanner
1658,Harpy Banner,HarpyBanner
1659,Hellbat Banner,HellbatBanner
1660,Herpling Banner,HerplingBanner
1661,Hornet Banner,HornetBanner
1662,Ice Elemental Banner,IceElementalBanner
1663,Icy Merman Banner,IcyMermanBanner
1664,Fire Imp Banner,FireImpBanner
1665,Blue Jellyfish Banner,JellyfishBanner
1666,Jungle Creeper Banner,JungleCreeperBanner
1667,Lihzahrd Banner,LihzahrdBanner
1668,Man Eater Banner,ManEaterBanner
1669,Meteor Head Banner,MeteorHeadBanner
1670,Moth Banner,MothBanner
1671,Mummy Banner,MummyBanner
1672,Mushi Ladybug Banner,MushiLadybugBanner
1673,Parrot Banner,ParrotBanner
1674,Pigron Banner,PigronBanner
1675,Piranha Banner,PiranhaBanner
1676,Pirate Deckhand Banner,PirateBanner
1677,Pixie Banner,PixieBanner
1678,Raincoat Zombie Banner,RaincoatZombieBanner
1679,Reaper Banner,ReaperBanner
1680,Shark Banner,SharkBanner
1681,Skeleton Banner,SkeletonBanner
1682,Dark Caster Banner,SkeletonMageBanner
1683,Blue Slime Banner,SlimeBanner
1684,Snow Flinx Banner,SnowFlinxBanner
1685,Wall Creeper Banner,SpiderBanner
1686,Spore Zombie Banner,SporeZombieBanner
1687,Swamp Thing Banner,SwampThingBanner
1688,Giant Tortoise Banner,TortoiseBanner
1689,Toxic Sludge Banner,ToxicSludgeBanner
1690,Umbrella Slime Banner,UmbrellaSlimeBanner
1691,Unicorn Banner,UnicornBanner
1692,Vampire Banner,VampireBanner
1693,Vulture Banner,VultureBanner
1694,Nymph Banner,NypmhBanner
1695,Werewolf Banner,WerewolfBanner
1696,Wolf Banner,WolfBanner
1697,World Feeder Banner,WorldFeederBanner
1698,Worm Banner,WormBanner
1699,Wraith Banner,WraithBanner
1700,Wyvern Banner,WyvernBanner
1701,Zombie Banner,ZombieBanner
1702,Glass Platform,GlassPlatform
1703,Glass Chair,GlassChair
1704,Golden Chair,GoldenChair
1705,Golden Toilet,GoldenToilet
1706,Bar Stool,BarStool
1707,Honey Chair,HoneyChair
1708,Steampunk Chair,SteampunkChair
1709,Glass Door,GlassDoor
1710,Golden Door,GoldenDoor
1711,Honey Door,HoneyDoor
1712,Steampunk Door,SteampunkDoor
1713,Glass Table,GlassTable
1714,Banquet Table,BanquetTable
1715,Bar,Bar
1716,Golden Table,GoldenTable
1717,Honey Table,HoneyTable
1718,Steampunk Table,SteampunkTable
1719,Glass Bed,GlassBed
1720,Golden Bed,GoldenBed
1721,Honey Bed,HoneyBed
1722,Steampunk Bed,SteampunkBed
1723,Living Wood Wall,LivingWoodWall
1724,Fart in a Jar,FartinaJar
1725,Pumpkin,Pumpkin
1726,Pumpkin Wall,PumpkinWall
1727,Hay,Hay
1728,Hay Wall,HayWall
1729,Spooky Wood,SpookyWood
1730,Spooky Wood Wall,SpookyWoodWall
1731,Pumpkin Helmet,PumpkinHelmet
1732,Pumpkin Breastplate,PumpkinBreastplate
1733,Pumpkin Leggings,PumpkinLeggings
1734,Candy Apple,CandyApple
1735,Soul Cake,SoulCake
1736,Nurse Hat,NurseHat
1737,Nurse Shirt,NurseShirt
1738,Nurse Pants,NursePants
1739,Wizard's Hat,WizardsHat
1740,Guy Fawkes Mask,GuyFawkesMask
1741,Dye Trader Robe,DyeTraderRobe
1742,Steampunk Goggles,SteampunkGoggles
1743,Cyborg Helmet,CyborgHelmet
1744,Cyborg Shirt,CyborgShirt
1745,Cyborg Pants,CyborgPants
1746,Creeper Mask,CreeperMask
1747,Creeper Shirt,CreeperShirt
1748,Creeper Pants,CreeperPants
1749,Cat Mask,CatMask
1750,Cat Shirt,CatShirt
1751,Cat Pants,CatPants
1752,Ghost Mask,GhostMask
1753,Ghost Shirt,GhostShirt
1754,Pumpkin Mask,PumpkinMask
1755,Pumpkin Shirt,PumpkinShirt
1756,Pumpkin Pants,PumpkinPants
1757,Robot Mask,RobotMask
1758,Robot Shirt,RobotShirt
1759,Robot Pants,RobotPants
1760,Unicorn Mask,UnicornMask
1761,Unicorn Shirt,UnicornShirt
1762,Unicorn Pants,UnicornPants
1763,Vampire Mask,VampireMask
1764,Vampire Shirt,VampireShirt
1765,Vampire Pants,VampirePants
1766,Witch Hat,WitchHat
1767,Leprechaun Hat,LeprechaunHat
1768,Leprechaun Shirt,LeprechaunShirt
1769,Leprechaun Pants,LeprechaunPants
1770,Pixie Shirt,PixieShirt
1771,Pixie Pants,PixiePants
1772,Princess Hat,PrincessHat
1773,Princess Dress,PrincessDressNew
1774,Goodie Bag,GoodieBag
1775,Witch Dress,WitchDress
1776,Witch Boots,WitchBoots
1777,Bride of Frankenstein Mask,BrideofFrankensteinMask
1778,Bride of Frankenstein Dress,BrideofFrankensteinDress
1779,Karate Tortoise Mask,KarateTortoiseMask
1780,Karate Tortoise Shirt,KarateTortoiseShirt
1781,Karate Tortoise Pants,KarateTortoisePants
1782,Candy Corn Rifle,CandyCornRifle
1783,Candy Corn,CandyCorn
1784,Jack 'O Lantern Launcher,JackOLanternLauncher
1785,Explosive Jack 'O Lantern,ExplosiveJackOLantern
1786,Sickle,Sickle
1787,Pumpkin Pie,PumpkinPie
1788,Scarecrow Hat,ScarecrowHat
1789,Scarecrow Shirt,ScarecrowShirt
1790,Scarecrow Pants,ScarecrowPants
1791,Cauldron,Cauldron
1792,Pumpkin Chair,PumpkinChair
1793,Pumpkin Door,PumpkinDoor
1794,Pumpkin Table,PumpkinTable
1795,Pumpkin Work Bench,PumpkinWorkBench
1796,Pumpkin Platform,PumpkinPlatform
1797,Tattered Fairy Wings,TatteredFairyWings
1798,Spider Egg,SpiderEgg
1799,Magical Pumpkin Seed,MagicalPumpkinSeed
1800,Bat Hook,BatHook
1801,Bat Scepter,BatScepter
1802,Raven Staff,RavenStaff
1803,Jungle Key Mold,JungleKeyMold
1804,Corruption Key Mold,CorruptionKeyMold
1805,Crimson Key Mold,CrimsonKeyMold
1806,Hallowed Key Mold,HallowedKeyMold
1807,Frozen Key Mold,FrozenKeyMold
1808,Hanging Jack 'O Lantern,HangingJackOLantern
1809,Rotten Egg,RottenEgg
1810,Unlucky Yarn,UnluckyYarn
1811,Black Fairy Dust,BlackFairyDust
1812,Jackelier,Jackelier
1813,Jack 'O Lantern,JackOLantern
1814,Spooky Chair,SpookyChair
1815,Spooky Door,SpookyDoor
1816,Spooky Table,SpookyTable
1817,Spooky Work Bench,SpookyWorkBench
1818,Spooky Wood Platform,SpookyPlatform
1819,Reaper Hood,ReaperHood
1820,Reaper Robe,ReaperRobe
1821,Fox Mask,FoxMask
1822,Fox Shirt,FoxShirt
1823,Fox Pants,FoxPants
1824,Cat Ears,CatEars
1825,Bloody Machete,BloodyMachete
1826,The Horseman's Blade,TheHorsemansBlade
1827,Bladed Glove,BladedGlove
1828,Pumpkin Seed,PumpkinSeed
1829,Spooky Hook,SpookyHook
1830,Spooky Wings,SpookyWings
1831,Spooky Twig,SpookyTwig
1832,Spooky Helmet,SpookyHelmet
1833,Spooky Breastplate,SpookyBreastplate
1834,Spooky Leggings,SpookyLeggings
1835,Stake Launcher,StakeLauncher
1836,Stake,Stake
1837,Cursed Sapling,CursedSapling
1838,Space Creature Mask,SpaceCreatureMask
1839,Space Creature Shirt,SpaceCreatureShirt
1840,Space Creature Pants,SpaceCreaturePants
1841,Wolf Mask,WolfMask
1842,Wolf Shirt,WolfShirt
1843,Wolf Pants,WolfPants
1844,Pumpkin Moon Medallion,PumpkinMoonMedallion
1845,Necromantic Scroll,NecromanticScroll
1846,Jacking Skeletron,JackingSkeletron
1847,Bitter Harvest,BitterHarvest
1848,Blood Moon Countess,BloodMoonCountess
1849,Hallow's Eve,HallowsEve
1850,Morbid Curiosity,MorbidCuriosity
1851,Treasure Hunter Shirt,TreasureHunterShirt
1852,Treasure Hunter Pants,TreasureHunterPants
1853,Dryad Coverings,DryadCoverings
1854,Dryad Loincloth,DryadLoincloth
1855,Mourning Wood Trophy,MourningWoodTrophy
1856,Pumpking Trophy,PumpkingTrophy
1857,Jack 'O Lantern Mask,JackOLanternMask
1858,Sniper Scope,SniperScope
1859,Heart Lantern,HeartLantern
1860,Jellyfish Diving Gear,JellyfishDivingGear
1861,Arctic Diving Gear,ArcticDivingGear
1862,Frostspark Boots,FrostsparkBoots
1863,Fart in a Balloon,FartInABalloon
1864,Papyrus Scarab,PapyrusScarab
1865,Celestial Stone,CelestialStone
1866,Hoverboard,Hoverboard
1867,Candy Cane,CandyCane
1868,Sugar Plum,SugarPlum
1869,Present,Present
1870,Red Ryder,RedRyder
1871,Festive Wings,FestiveWings
1872,Pine Tree Block,PineTreeBlock
1873,Christmas Tree,ChristmasTree
1874,Star Topper 1,StarTopper1
1875,Star Topper 2,StarTopper2
1876,Star Topper 3,StarTopper3
1877,Bow Topper,BowTopper
1878,White Garland,WhiteGarland
1879,White and Red Garland,WhiteAndRedGarland
1880,Red Garland,RedGardland
1881,Red and Green Garland,RedAndGreenGardland
1882,Green Garland,GreenGardland
1883,Green and White Garland,GreenAndWhiteGarland
1884,Multicolored Bulb,MulticoloredBulb
1885,Red Bulb,RedBulb
1886,Yellow Bulb,YellowBulb
1887,Green Bulb,GreenBulb
1888,Red and Green Bulb,RedAndGreenBulb
1889,Yellow and Green Bulb,YellowAndGreenBulb
1890,Red and Yellow Bulb,RedAndYellowBulb
1891,White Bulb,WhiteBulb
1892,White and Red Bulb,WhiteAndRedBulb
1893,White and Yellow Bulb,WhiteAndYellowBulb
1894,White and Green Bulb,WhiteAndGreenBulb
1895,Multicolored Lights,MulticoloredLights
1896,Red Lights,RedLights
1897,Green Lights,GreenLights
1898,Blue Lights,BlueLights
1899,Yellow Lights,YellowLights
1900,Red and Yellow Lights,RedAndYellowLights
1901,Red and Green Lights,RedAndGreenLights
1902,Yellow and Green Lights,YellowAndGreenLights
1903,Blue and Green Lights,BlueAndGreenLights
1904,Red and Blue Lights,RedAndBlueLights
1905,Blue and Yellow Lights,BlueAndYellowLights
1906,Giant Bow,GiantBow
1907,Reindeer Antlers,ReindeerAntlers
1908,Holly,Holly
1909,Candy Cane Sword,CandyCaneSword
1910,Elf Melter,EldMelter
1911,Christmas Pudding,ChristmasPudding
1912,Eggnog,Eggnog
1913,Star Anise,StarAnise
1914,Reindeer Bells,ReindeerBells
1915,Candy Cane Hook,CandyCaneHook
1916,Christmas Hook,ChristmasHook
1917,Candy Cane Pickaxe,CnadyCanePickaxe
1918,Fruitcake Chakram,FruitcakeChakram
1919,Sugar Cookie,SugarCookie
1920,Gingerbread Cookie,GingerbreadCookie
1921,Hand Warmer,HandWarmer
1922,Coal,Coal
1923,Toolbox,Toolbox
1924,Pine Door,PineDoor
1925,Pine Chair,PineChair
1926,Pine Table,PineTable
1927,Dog Whistle,DogWhistle
1928,Christmas Tree Sword,ChristmasTreeSword
1929,Chain Gun,ChainGun
1930,Razorpine,Razorpine
1931,Blizzard Staff,BlizzardStaff
1932,Mrs. Claus Hat,MrsClauseHat
1933,Mrs. Claus Shirt,MrsClauseShirt
1934,Mrs. Claus Heels,MrsClauseHeels
1935,Parka Hood,ParkaHood
1936,Parka Coat,ParkaCoat
1937,Parka Pants,ParkaPants
1938,Snow Hat,SnowHat
1939,Ugly Sweater,UglySweater
1940,Tree Mask,TreeMask
1941,Tree Shirt,TreeShirt
1942,Tree Trunks,TreeTrunks
1943,Elf Hat,ElfHat
1944,Elf Shirt,ElfShirt
1945,Elf Pants,ElfPants
1946,Snowman Cannon,SnowmanCannon
1947,North Pole,NorthPole
1948,Christmas Tree Wallpaper,ChristmasTreeWallpaper
1949,Ornament Wallpaper,OrnamentWallpaper
1950,Candy Cane Wallpaper,CandyCaneWallpaper
1951,Festive Wallpaper,FestiveWallpaper
1952,Stars Wallpaper,StarsWallpaper
1953,Squiggles Wallpaper,SquigglesWallpaper
1954,Snowflake Wallpaper,SnowflakeWallpaper
1955,Krampus Horn Wallpaper,KrampusHornWallpaper
1956,Bluegreen Wallpaper,BluegreenWallpaper
1957,Grinch Finger Wallpaper,GrinchFingerWallpaper
1958,Naughty Present,NaughtyPresent
1959,Baby Grinch's Mischief Whistle,BabyGrinchMischiefWhistle
1960,Ice Queen Trophy,IceQueenTrophy
1961,Santa-NK1 Trophy,SantaNK1Trophy
1962,Everscream Trophy,EverscreamTrophy
1963,Music Box (Pumpkin Moon),MusicBoxPumpkinMoon
1964,Music Box (Alt Underground),MusicBoxAltUnderground
1965,Music Box (Frost Moon),MusicBoxFrostMoon
1966,Brown Paint,BrownPaint
1967,Shadow Paint,ShadowPaint
1968,Negative Paint,NegativePaint
1969,Team Dye,TeamDye
1970,Amethyst Gemspark Block,AmethystGemsparkBlock
1971,Topaz Gemspark Block,TopazGemsparkBlock
1972,Sapphire Gemspark Block,SapphireGemsparkBlock
1973,Emerald Gemspark Block,EmeraldGemsparkBlock
1974,Ruby Gemspark Block,RubyGemsparkBlock
1975,Diamond Gemspark Block,DiamondGemsparkBlock
1976,Amber Gemspark Block,AmberGemsparkBlock
1977,Life Hair Dye,LifeHairDye
1978,Mana Hair Dye,ManaHairDye
1979,Depth Hair Dye,DepthHairDye
1980,Money Hair Dye,MoneyHairDye
1981,Time Hair Dye,TimeHairDye
1982,Team Hair Dye,TeamHairDye
1983,Biome Hair Dye,BiomeHairDye
1984,Party Hair Dye,PartyHairDye
1985,Rainbow Hair Dye,RainbowHairDye
1986,Speed Hair Dye,SpeedHairDye
1987,Angel Halo,AngelHalo
1988,Fez,Fez
1989,Womannequin,Womannquin
1990,Hair Dye Remover,HairDyeRemover
1991,Bug Net,BugNet
1992,Firefly,Firefly
1993,Firefly in a Bottle,FireflyinaBottle
1994,Monarch Butterfly,MonarchButterfly
1995,Purple Emperor Butterfly,PurpleEmperorButterfly
1996,Red Admiral Butterfly,RedAdmiralButterfly
1997,Ulysses Butterfly,UlyssesButterfly
1998,Sulphur Butterfly,SulphurButterfly
1999,Tree Nymph Butterfly,TreeNymphButterfly
2000,Zebra Swallowtail Butterfly,ZebraSwallowtailButterfly
2001,Julia Butterfly,JuliaButterfly
2002,Worm,Worm
2003,Mouse,Mouse
2004,Lightning Bug,LightningBug
2005,Lightning Bug in a Bottle,LightningBuginaBottle
2006,Snail,Snail
2007,Glowing Snail,GlowingSnail
2008,Fancy Gray Wallpaper,FancyGreyWallpaper
2009,Ice Floe Wallpaper,IceFloeWallpaper
2010,Music Wallpaper,MusicWallpaper
2011,Purple Rain Wallpaper,PurpleRainWallpaper
2012,Rainbow Wallpaper,RainbowWallpaper
2013,Sparkle Stone Wallpaper,SparkleStoneWallpaper
2014,Starlit Heaven Wallpaper,StarlitHeavenWallpaper
2015,Bird,Bird
2016,Blue Jay,BlueJay
2017,Cardinal,Cardinal
2018,Squirrel,Squirrel
2019,Bunny,Bunny
2020,Cactus Bookcase,CactusBookcase
2021,Ebonwood Bookcase,EbonwoodBookcase
2022,Flesh Bookcase,FleshBookcase
2023,Honey Bookcase,HoneyBookcase
2024,Steampunk Bookcase,SteampunkBookcase
2025,Glass Bookcase,GlassBookcase
2026,Rich Mahogany Bookcase,RichMahoganyBookcase
2027,Pearlwood Bookcase,PearlwoodBookcase
2028,Spooky Bookcase,SpookyBookcase
2029,Skyware Bookcase,SkywareBookcase
2030,Lihzahrd Bookcase,LihzahrdBookcase
2031,Frozen Bookcase,FrozenBookcase
2032,Cactus Lantern,CactusLantern
2033,Ebonwood Lantern,EbonwoodLantern
2034,Flesh Lantern,FleshLantern
2035,Honey Lantern,HoneyLantern
2036,Steampunk Lantern,SteampunkLantern
2037,Glass Lantern,GlassLantern
2038,Rich Mahogany Lantern,RichMahoganyLantern
2039,Pearlwood Lantern,PearlwoodLantern
2040,Frozen Lantern,FrozenLantern
2041,Lihzahrd Lantern,LihzahrdLantern
2042,Skyware Lantern,SkywareLantern
2043,Spooky Lantern,SpookyLantern
2044,Frozen Door,FrozenDoor
2045,Cactus Candle,CactusCandle
2046,Ebonwood Candle,EbonwoodCandle
2047,Flesh Candle,FleshCandle
2048,Glass Candle,GlassCandle
2049,Frozen Candle,FrozenCandle
2050,Rich Mahogany Candle,RichMahoganyCandle
2051,Pearlwood Candle,PearlwoodCandle
2052,Lihzahrd Candle,LihzahrdCandle
2053,Skyware Candle,SkywareCandle
2054,Pumpkin Candle,PumpkinCandle
2055,Cactus Chandelier,CactusChandelier
2056,Ebonwood Chandelier,EbonwoodChandelier
2057,Flesh Chandelier,FleshChandelier
2058,Honey Chandelier,HoneyChandelier
2059,Frozen Chandelier,FrozenChandelier
2060,Rich Mahogany Chandelier,RichMahoganyChandelier
2061,Pearlwood Chandelier,PearlwoodChandelier
2062,Lihzahrd Chandelier,LihzahrdChandelier
