name,id,Version,Type,Category,Mod
Bullet Tip Mold,HCBullettipmold,B41 Beta,Drainable,Pottery,Hydrocraft
Bullet Tips,HCBullettips,B41 Beta,Normal,Metalurgy,Hydrocraft
Bullets Ammo Strap,AmmoStrap_Bullets,41.1,Clothing,clothing/clothing_others,Classic
Bumblebee,HCBumblebee,B41 Beta,Normal,Bugs,Hydrocraft
Bunch of Berries,HCBunchofberries,B41 Beta,Food,Food Fruit,Hydrocraft
Bunch of Berries Tablet,HCTabletberries,B41 Beta,Literature,Tablets,Hydrocraft
Bunch of Mushrooms,HCBunchofshrooms,B41 Beta,Food,Food Shrooms,Hydrocraft
Bunch of Mushrooms Tablet,HCTabletshrooms,B41 Beta,Literature,Tablets,Hydrocraft
Bundle of Twigs,HCTwigbundle,B41 Beta,Normal,Foraging,Hydrocraft
Bung Mold,HCBungmold,B41 Beta,Drainable,Pottery,Hydrocraft
Bungee Cord,HCBungeecord,B41 Beta,Normal,Tools,Hydrocraft
Bunny Ears,Hat_BunnyEarsBlack,41.1,Clothing,clothing/clothing_hats,Classic
Bunny Ears,Hat_BunnyEarsWhite,41.1,Clothing,clothing/clothing_hats,Classic
Bunny Suit,BunnySuitPink,41.1,Clothing,clothing/clothing_others,Classic
Bunny Suit,BunnySuitBlack,41.1,Clothing,clothing/clothing_others,Classic
Bunny Tail,BunnyTail,41.1,Clothing,clothing/clothing_others,Classic
Bunsen Burner,HCBunsenburner,B41 Beta,Normal,Lab,Hydrocraft
Burbot,HCBurbot,B41 Beta,Food,Food Seafood,Hydrocraft
Burger,Burger,41.1,Food,items_food,Classic
Burger,BurgerRecipe,41.1,Food,items_food,Classic
Burger Bun,HCBurgerbun,B41 Beta,Food,Food Flour,Hydrocraft
Burlap Cloth,HCBurlapcloth,B41 Beta,Normal,Tailoring,Hydrocraft
Burrito,Burrito,41.1,Food,items_food,Classic
Burrito,HCBurrito,B41 Beta,Food,Food Mexican,Hydrocraft
Burrito,BurritoRecipe,41.1,Food,items_food,Classic
Burrito Grande,HCBurritogrande,B41 Beta,Food,Food Mexican,Hydrocraft
Buskin Pumpkin,HCPumpkinbuskin,B41 Beta,Food,Food Vegetables,Hydrocraft
Buskin Pumpkin Packet,HCPumpkinbuskinseedspacket,B41 Beta,Normal,Seeds,Hydrocraft
Buskin Pumpkin Seeds,HCPumpkinbuskinseeds,B41 Beta,Normal,Seeds,Hydrocraft
Butcher Carcass Tablet,HCTabletButcherCarcass,B41 Beta,Literature,Tablets,Hydrocraft
Butcher's Cookbook,HCCookbookbutcher,B41 Beta,Literature,Cookbooks,Hydrocraft
Butter,Butter,41.1,Food,items_food,Classic
Butter Knife,ButterKnife,41.1,Weapon,items_weapons,Classic
Button,Button,41.1,Normal,newitems,Classic
Cabbage,Cabbage,41.1,Food,farming,Classic
Cabbage Seeds,CabbageSeed,41.1,Normal,farming,Classic
Cabbage Seeds Packet,CabbageBagSeed,41.1,Normal,farming,Classic
Cactus Fruit,HCCactusfruit,B41 Beta,Food,Food Fruit,Hydrocraft
Cactus Seeds,HCCactusseeds,B41 Beta,Normal,Seeds,Hydrocraft
Cactus Seeds Packet,HCCactusseedspacket,B41 Beta,Normal,Seeds,Hydrocraft
Caffeine Pills,HCCaffeinepills,B41 Beta,Food,Medical,Hydrocraft
Cage Trap,TrapCage,41.1,Normal,newitems,Classic
Cage Trap Blueprint,HCBlueprinttrapcage,B41 Beta,Literature,Blueprints,Hydrocraft
Cajun Seasoning,HCCajunseasoning,B41 Beta,Food,Food Condiments,Hydrocraft
Cake,CakeRaw,41.1,Food,items_food,Classic
Cake Batter,CakeBatter,41.1,Normal,newitems,Classic
Cake Preparation,CakePrep,41.1,Food,items_food,Classic
Cake Slice,CakeSlice,41.1,Food,items_food,Classic
Calcite Powder,HCCalcitepowder,B41 Beta,Normal,Alchemy,Hydrocraft
Calcium Carbonate Powder,HCCalciumcarbonatpowder,B41 Beta,Normal,Alchemy,Hydrocraft
Calcium Chloride Powder,HCCalciumchloridepowder,B41 Beta,Normal,Alchemy,Hydrocraft
Calcium Chloride Soultion,HCBeakercalciumchloridesolution,B41 Beta,Normal,Beakers,Hydrocraft
Calcium Hydroxide Powder,HCCalciumhydroxidpowder,B41 Beta,Normal,Alchemy,Hydrocraft
Calcium Oxide Powder,HCCalciumoxidpowder,B41 Beta,Normal,Alchemy,Hydrocraft
Calculator,HCCalculator,B41 Beta,Normal,Electronics,Hydrocraft
Calculus Textbook,HCBookcalculus,B41 Beta,Literature,Books,Hydrocraft
Calily,HCCalily,B41 Beta,Normal,Foraging,Hydrocraft
Calligraphy Textbook,HCBookcalligraphy,B41 Beta,Literature,Books,Hydrocraft
Camellia,HCCamellia,B41 Beta,Normal,Foraging,Hydrocraft
Camellia Tea,HCCamelliateamug,B41 Beta,Food,Herbalism,Hydrocraft
Camellia Tea,HCCamelliateaclaymug,B41 Beta,Food,Herbalism,Hydrocraft
Camera,Camera,41.1,Normal,newitems,Classic
Camera,HCCamera,B41 Beta,Normal,Photography,Hydrocraft
Camo Hunting Vest,Vest_Hunting_Camo,41.1,Clothing,clothing/clothing_shirts,Classic
Camo Leather,HCLeatherCamo,B41 Beta,Normal,Leatherworking,Hydrocraft
Camomile,HCCamomile,B41 Beta,Normal,Foraging,Hydrocraft
Camomile Tea,HCCamomileteamug,B41 Beta,Food,Herbalism,Hydrocraft
Camomile Tea,HCCamomileteaclaymug,B41 Beta,Food,Herbalism,Hydrocraft
Campfire Materials,CampfireKit,41.1,Normal,camping,Classic
Camping Pack,HCCampingpack,B41 Beta,Container,Containers,Hydrocraft
Camshaft,HCCamshaft,B41 Beta,Normal,Auto,Hydrocraft
Can of Beer,HCBeercan1,B41 Beta,Food,Food Bar,Hydrocraft
Can of Beer,HCBeercan2,B41 Beta,Food,Food Bar,Hydrocraft
Can of Beer,HCBeercan3,B41 Beta,Food,Food Bar,Hydrocraft
Can of Beer,HCBeercan4,B41 Beta,Food,Food Bar,Hydrocraft
Can of Beer,HCBeercan5,B41 Beta,Food,Food Bar,Hydrocraft
Can of Beer,HCBeercan6,B41 Beta,Food,Food Bar,Hydrocraft
Can of Beer,HCBeercan7,B41 Beta,Food,Food Bar,Hydrocraft
Can of Beer,HCBeercan8,B41 Beta,Food,Food Bar,Hydrocraft
Can of Beer,HCBeercan9,B41 Beta,Food,Food Bar,Hydrocraft
Can of Beer,HCBeercan10,B41 Beta,Food,Food Bar,Hydrocraft
Can of Bug Spray,HCBugspraycan,B41 Beta,Drainable,Pests,Hydrocraft
Can of Fish Food,HCFishfood2,B41 Beta,Drainable,Pet,Hydrocraft
Can of Oats,OatsRaw,B41 Beta,Food,items_food,Hydrocraft
Can of Roasted Peanuts,HCPeanutsnack,B41 Beta,Food,Food Snacks,Hydrocraft
Can of Rodent Food,HCRodentfood,B41 Beta,Drainable,Pet,Hydrocraft
Can of Rotten Whipped Cream,HCWhippedcreamcanRotten,B41 Beta,Normal,Food Dairy,Hydrocraft
Can of Whipped Cream,HCWhippedcreamcan,B41 Beta,Food,Food Dairy,Hydrocraft
Can Opener,TinOpener,41.1,Normal,items,Classic
Canadian Flag,HCFlagcanadian,B41 Beta,Normal,Flags,Hydrocraft
Canadian Flag on Pole,HCFlagpolecanadian,B41 Beta,Normal,Flags,Hydrocraft
Canadian Goose (Female),HCCanadiangoosefemale,B41 Beta,Normal,Hunting,Hydrocraft
Canadian Goose (Male),HCCanadiangoosemale,B41 Beta,Normal,Hunting,Hydrocraft
Candle,Candle,41.1,Drainable,items,Classic
Candle Holder,HCCandleholder,B41 Beta,Normal,Candlemaking,Hydrocraft
Candle in Holder,HCCandleholder2,B41 Beta,Normal,Candlemaking,Hydrocraft
Candle Making Textbook,HCBookcandlemaking,B41 Beta,Literature,Books,Hydrocraft
Candle Mining Hat,HCMininghat,B41 Beta,Drainable,Candlemaking,Hydrocraft
Candleberry,HCCandleberry,B41 Beta,Food,Foraging,Hydrocraft
Candleberry Wax,HCCandleberrywax,B41 Beta,Normal,Candlemaking,Hydrocraft
Candy Bar Wrapper,HCCandybar1trash,B41 Beta,Normal,Trash,Hydrocraft
Candy Bar Wrapper,HCCandybar2trash,B41 Beta,Normal,Trash,Hydrocraft
Candy Bar Wrapper,HCCandybar3trash,B41 Beta,Normal,Trash,Hydrocraft
Candy Bar Wrapper,HCCandybar4trash,B41 Beta,Normal,Trash,Hydrocraft
Candy Bucket,HCCandybucket,B41 Beta,Container,Holiday,Hydrocraft
Candy Cane,Candycane,41.1,Food,items_food,Classic
Candy Corn,HCCandycorn,B41 Beta,Food,Food Candy,Hydrocraft
Candy Package,CandyPackage,41.1,Food,items_food,Classic
Cane,HCCane,B41 Beta,Weapon,Tools,Hydrocraft
Canned Apple Pie Filling,HCCannedpiefillingapple,B41 Beta,Food,Food Canned,Hydrocraft
Canned Apples,HCCannedapple,B41 Beta,Food,Food Canned,Hydrocraft
Canned Beans,TinnedBeans,41.1,Food,items_food,Classic
Canned Beef Raviloi,HCCannedravioli,B41 Beta,Food,Food Canned,Hydrocraft
Canned Blueberry Pie Filling,HCCannedpiefillingblueberry,B41 Beta,Food,Food Canned,Hydrocraft
Canned Bolognese,CannedBolognese,41.1,Food,items_food,Classic
Canned Carrots,CannedCarrots2,41.1,Food,items_food,Classic
Canned Cheese Sauce,HCCannedcheesesauce,B41 Beta,Food,Food Canned,Hydrocraft
Canned Cherry Pie Filling,HCCannedpiefillingcherry,B41 Beta,Food,Food Canned,Hydrocraft
Canned Chicken Breast,HCCannedchickenbreast,B41 Beta,Food,Food Canned,Hydrocraft
Canned Chili,CannedChili,41.1,Food,items_food,Classic
Canned Corn,CannedCorn,41.1,Food,items_food,Classic
Canned Corned Beef,CannedCornedBeef,41.1,Food,items_food,Classic
Canned Cranberries,HCCannedcranberries,B41 Beta,Food,Food Canned,Hydrocraft
Canned Cream of Chicken,HCCannedcreamofchicken,B41 Beta,Food,Food Canned,Hydrocraft
Canned Fruit Cocktail,CannedFruitCocktail,41.1,Food,items_food,Classic
Canned Fruit Cocktail,HCCannedfruitcocktail,B41 Beta,Food,Food Canned,Hydrocraft
Canned Government Beef,HCCannedgovermentbeef,B41 Beta,Food,Food Canned,Hydrocraft
Canned Government Bread,HCCannedgovermentbread,B41 Beta,Food,Food Canned,Hydrocraft
Canned Government Chicken,HCCannedgovermentchicken,B41 Beta,Food,Food Canned,Hydrocraft
Canned Government Pork,HCCannedgovermentpork,B41 Beta,Food,Food Canned,Hydrocraft
Canned Green Beans,HCCannedgreenbeans,B41 Beta,Food,Food Canned,Hydrocraft
Canned Mac and Cheese,HCCannedmacncheese,B41 Beta,Food,Food Canned,Hydrocraft
Canned Mushroom Soup,CannedMushroomSoup,41.1,Food,items_food,Classic
Canned Mushrooms,HCCannedshrooms,B41 Beta,Food,Food Canned,Hydrocraft
Canned Peaches,CannedPeaches,41.1,Food,items_food,Classic
Canned Peaches,HCCannedpeach,B41 Beta,Food,Food Canned,Hydrocraft
Canned Pears,HCCannedpear,B41 Beta,Food,Food Canned,Hydrocraft
Canned Peas,CannedPeas,41.1,Food,items_food,Classic
Canned Pineapple,CannedPineapple,41.1,Food,items_food,Classic
Canned Pineapple,HCCannedpineapple,B41 Beta,Food,Food Canned,Hydrocraft
Canned Potato,CannedPotato2,41.1,Food,items_food,Classic
Canned Pumpkin,HCCannedpumpkin,B41 Beta,Food,Food Canned,Hydrocraft
Canned Refried Beans,HCCannedrefriedbeans,B41 Beta,Food,Food Canned,Hydrocraft
Canned Sardines,CannedSardines,41.1,Food,items_food,Classic
Canned Soup,TinnedSoup,41.1,Food,items_food,Classic
Canned Soup Classic,HCCannedsoupclassic,B41 Beta,Food,Food Canned,Hydrocraft
Canned Spaghetti Rings,HCCannedspaghettirings,B41 Beta,Food,Food Canned,Hydrocraft
Canned Spam,HCCannedspam,B41 Beta,Food,Food Canned,Hydrocraft
Canned Tomato,CannedTomato2,41.1,Food,items_food,Classic
Canned Tuna,TunaTin,41.1,Food,items_food,Classic
Cannon Ball,HCCannonball,B41 Beta,Normal,Metalurgy,Hydrocraft
Canoe Paddle,CanoePadel,41.1,Weapon,items_weapons,Classic
Canoe Paddle Double,CanoePadelX2,41.1,Weapon,items_weapons,Classic
Canteen,HCCanteen,B41 Beta,Normal,Camping_HC,Hydrocraft
Canteen with Water,HCCanteenfull,B41 Beta,Drainable,Camping_HC,Hydrocraft
Canvas,HCCanvas,B41 Beta,Normal,Painting,Hydrocraft
Canvasback Duck (Female),HCCanvasbackduckfemale,B41 Beta,Normal,Hunting,Hydrocraft
Canvasback Duck (Male),HCCanvasbackduckmale,B41 Beta,Normal,Hunting,Hydrocraft
Capacitor,HCCapacitor01,B41 Beta,Normal,Electronics,Hydrocraft
Capacitor,HCCapacitor02,B41 Beta,Normal,Electronics,Hydrocraft
Car,HCCar1L,B41 Beta,Container,Auto,Hydrocraft
Car,HCCar1R,B41 Beta,Container,Auto,Hydrocraft
Car,HCCar2L,B41 Beta,Container,Auto,Hydrocraft
Car,HCCar2R,B41 Beta,Container,Auto,Hydrocraft
Car,HCCar3L,B41 Beta,Container,Auto,Hydrocraft
Car,HCCar3R,B41 Beta,Container,Auto,Hydrocraft
Car,HCCar4L,B41 Beta,Container,Auto,Hydrocraft
Car,HCCar4R,B41 Beta,Container,Auto,Hydrocraft
Car,HCCar5L,B41 Beta,Container,Auto,Hydrocraft
Car,HCCar5R,B41 Beta,Container,Auto,Hydrocraft
Car,HCCar6L,B41 Beta,Container,Auto,Hydrocraft
Car,HCCar6R,B41 Beta,Container,Auto,Hydrocraft
Car,HCCar7L,B41 Beta,Container,Auto,Hydrocraft
Car,HCCar7R,B41 Beta,Container,Auto,Hydrocraft
Car,HCCar8L,B41 Beta,Container,Auto,Hydrocraft
Car,HCCar8R,B41 Beta,Container,Auto,Hydrocraft
Car,HCCar9L,B41 Beta,Container,Auto,Hydrocraft
Car,HCCar9R,B41 Beta,Container,Auto,Hydrocraft
Car,HCCar10L,B41 Beta,Container,Auto,Hydrocraft
Car,HCCar10R,B41 Beta,Container,Auto,Hydrocraft
Car,HCCar11L,B41 Beta,Container,Auto,Hydrocraft
Car,HCCar11R,B41 Beta,Container,Auto,Hydrocraft
Car,HCCar12L,B41 Beta,Container,Auto,Hydrocraft
Car,HCCar12R,B41 Beta,Container,Auto,Hydrocraft
Car Battery with Clamps,HCCarbattery,B41 Beta,Normal,Auto,Hydrocraft
Caraway,HCCaraway,B41 Beta,Food,Food Condiments,Hydrocraft
Carbon Fiber Chemical Research,HCBlueprintcarbon,B41 Beta,Literature,Blueprints,Hydrocraft
Carbon Nanochains,HCNanochains,B41 Beta,Normal,Firecrafting,Hydrocraft
Carbon Nanofiber,HCNanofiber,B41 Beta,Normal,Firecrafting,Hydrocraft
Carbon Nanorings,HCNanorings,B41 Beta,Normal,Firecrafting,Hydrocraft
Carbon Powder,HCCarbonpowder,B41 Beta,Normal,Firecrafting,Hydrocraft
Card Game,HCCardgame1,B41 Beta,Normal,Toys,Hydrocraft
Cardamom,HCCardamom,B41 Beta,Food,Food Condiments,Hydrocraft
Cardboard Box,HCCardboardbox,B41 Beta,Container,Containers,Hydrocraft
Cardboard Flat,HCCardboardflat,B41 Beta,Normal,Containers,Hydrocraft
Cardboard Packaging,HCMREmealtrash,B41 Beta,Normal,Trash,Hydrocraft
Cardboard Packaging,HCMREsidetrash,B41 Beta,Normal,Trash,Hydrocraft
Cardboard Packaging,HCMREmealsidetrash,B41 Beta,Normal,Trash,Hydrocraft
Carnation,HCCarnation,B41 Beta,Normal,Foraging,Hydrocraft
Carp,HCCarp,B41 Beta,Food,Food Seafood,Hydrocraft
Carpenter Bench,HCCarpenterbench,B41 Beta,Container,Carpentry,Hydrocraft
Carpentry for Beginners,BookCarpentry1,41.1,Literature,items_literature,Classic
Carpentry for Intermediates,BookCarpentry2,41.1,Literature,items_literature,Classic
Carrot Cake Slice,CakeCarrot,41.1,Food,items_food,Classic
Carrot Juice,HCWhiskeycarrotjuice,B41 Beta,Food,Food Juice,Hydrocraft
Carrot Juice,HCClingmugcarrotjuice,B41 Beta,Food,Food Juice,Hydrocraft
Carrot Juice,HCPopbottlecarrotjuice,B41 Beta,Food,Food Juice,Hydrocraft
Carrot Juice,HCRemouladecarrotjuice,B41 Beta,Food,Food Juice,Hydrocraft
Carrot Juice,HCMayonnaisecarrotjuice,B41 Beta,Food,Food Juice,Hydrocraft
Carrot Juice,HCWaterbottlecarrotjuice,B41 Beta,Food,Food Juice,Hydrocraft
Carrot Seeds,CarrotSeed,41.1,Normal,farming,Classic
Carrot Seeds Packet,CarrotBagSeed,41.1,Normal,farming,Classic
Carrots,Carrots,41.1,Food,items_food,Classic
Carving Fork,CarvingFork,41.1,Normal,newitems,Classic
Cash Register,HCCashregister,B41 Beta,Normal,Electronics,Hydrocraft
Cat (Female),HCCatfemale,B41 Beta,Container,Cats,Hydrocraft
Cat (Female),HCCatbluefemale,B41 Beta,Container,Cats,Hydrocraft
Cat (Female),HCCatblackfemale,B41 Beta,Container,Cats,Hydrocraft
Cat (Female),HCCatbrownfemale,B41 Beta,Container,Cats,Hydrocraft
Cat (Female),HCCatcreamfemale,B41 Beta,Container,Cats,Hydrocraft
Cat (Female),HCCatwhitefemale,B41 Beta,Container,Cats,Hydrocraft
Cat (Female),HCCatgingerfemale,B41 Beta,Container,Cats,Hydrocraft
Cat (Female),HCCatsilverfemale,B41 Beta,Container,Cats,Hydrocraft
Cat (Male),HCCatmale,B41 Beta,Container,Cats,Hydrocraft
Cat (Male),HCCatbluemale,B41 Beta,Container,Cats,Hydrocraft
Cat (Male),HCCatblackmale,B41 Beta,Container,Cats,Hydrocraft
Cat (Male),HCCatbrownmale,B41 Beta,Container,Cats,Hydrocraft
Cat (Male),HCCatcreammale,B41 Beta,Container,Cats,Hydrocraft
Cat (Male),HCCatwhitemale,B41 Beta,Container,Cats,Hydrocraft
Cat (Male),HCCatgingermale,B41 Beta,Container,Cats,Hydrocraft
Cat (Male),HCCatsilvermale,B41 Beta,Container,Cats,Hydrocraft
Cat bones,HCCatbones,B41 Beta,Normal,Boneworking,Hydrocraft
Cat Carcass,HCCatmeat,B41 Beta,Food,Food Meat,Hydrocraft
Cat Food,HCCatfood,B41 Beta,Food,Pet,Hydrocraft
Cat Poop,HCCatpoop,B41 Beta,Normal,Cats,Hydrocraft
Cat Toy,CatToy,41.1,Normal,newitems,Classic
Caterpillar,HCCaterpillar,B41 Beta,Normal,Bugs,Hydrocraft
Catfish,Catfish,41.1,Food,items_food,Classic
Catfish Roe,HCEggcatfish,B41 Beta,Normal,Fishing,Hydrocraft
Catnip,HCCatnip,B41 Beta,Normal,Foraging,Hydrocraft
Cauliflower,HCCauliflower,B41 Beta,Food,Food Vegetables,Hydrocraft
Cauliflower Seeds,HCCauliflowerseeds,B41 Beta,Normal,Seeds ND,Hydrocraft
Cauliflower Seeds Packet,HCCauliflowerseedspacket,B41 Beta,Normal,Seeds ND,Hydrocraft
CD,Disc,41.1,Normal,newitems,Classic
CD,Disc_Retail,41.1,Normal,newitems,Classic
CD Case with CD,HCCDcasefull,B41 Beta,Normal,Music,Hydrocraft
Celery,HCCelery,B41 Beta,Food,Food Vegetables,Hydrocraft
Celery Packet,HCCeleryseedspacket,B41 Beta,Normal,Seeds,Hydrocraft
Celery Seed,HCCeleryseed,B41 Beta,Food,Food Condiments,Hydrocraft
Celery Seeds,HCCeleryseeds,B41 Beta,Normal,Seeds,Hydrocraft
Cellar,HCCellar,B41 Beta,Container,Stoneworking,Hydrocraft
Cellar,HCCellar2,B41 Beta,Container,Stoneworking,Hydrocraft
Celtic Folklore,HCBookceltic,B41 Beta,Literature,Books,Hydrocraft
Cement Pond Hole,HCPondholecement,B41 Beta,Normal,Fishing,Hydrocraft
Centifuge with Power,HCCentifugepowered,B41 Beta,Drainable,Centifuge,Hydrocraft
Centrifiuge,HCCentifuge,B41 Beta,Normal,Centifuge,Hydrocraft
Ceramic Oscillator,HCCeramicoscillator,B41 Beta,Normal,Electronics,Hydrocraft
Cereal,Cereal,B41 Beta,Food,items_food,Hydrocraft
Cereal Bowl,CerealBowl,41.1,Food,items_food,Classic
Certificate,HCCertificate,B41 Beta,Normal,Office,Hydrocraft
Chaff,HCChaff,B41 Beta,Normal,Herbalism,Hydrocraft
Chain,HCChain,B41 Beta,Weapon,Junkyard,Hydrocraft
Chain Saw (No Gas),ChainSawNoGas,B41 Beta,Weapon,Tools,Hydrocraft
Chainmail Armor,HCArmorchainmail,B41 Beta,Normal,Armor,Hydrocraft
Chainmail Gloves,HCGlovechainmail,B41 Beta,Normal,Armor,Hydrocraft
Chainmail Leg Guards,HCLegarmorchainmail,B41 Beta,Normal,Armor,Hydrocraft
Chainsaw,ChainSaw,B41 Beta,Weapon,items_weapons,Hydrocraft
Chair Leg,ChairLeg,41.1,Weapon,items_weapons,Classic
Chalk,HCChalk,B41 Beta,Normal,Toys,Hydrocraft
Chalk Eraser,HCChalkeraser,B41 Beta,Normal,Toys,Hydrocraft
Chalk Powder,HCChalkpowder,B41 Beta,Normal,Alchemy,Hydrocraft
Chalk Rock,HCChalkrock,B41 Beta,Normal,Mining,Hydrocraft
Chantrelle,HCChantrelle,B41 Beta,Food,Food Shrooms,Hydrocraft
Chapstick,HCChapstick,B41 Beta,Drainable,Bathroom,Hydrocraft
Charcoal,Charcoal,41.1,Drainable,items,Classic
Charcoal Powder,HCCharcoalpowder,B41 Beta,Normal,Alchemy,Hydrocraft
Chardonnay,Wine,41.1,Food,items_food,Classic
Charged Solar Park,HCSolarparkcharged,B41 Beta,Drainable,Solar,Hydrocraft
Charging Unit (Off),HCChargingunitoff,B41 Beta,Normal,Electronics,Hydrocraft
Charging Unit (On),HCChargingunit,B41 Beta,Normal,Electronics,Hydrocraft
Checkers,HCCheckers,B41 Beta,Normal,Toys,Hydrocraft
Cheddar Cheese,HCCheddar,B41 Beta,Food,Cheesemaking,Hydrocraft
Cheddar Wheel,HCCheddarwheelunaged,B41 Beta,Food,Cheesemaking,Hydrocraft
Cheese,Cheese,41.1,Food,items_food,Classic
Cheese Cake Slice,CakeCheeseCake,41.1,Food,items_food,Classic
Cheese Cloth,HCCheesecloth,B41 Beta,Normal,Cheesemaking,Hydrocraft
Cheese Curd,HCCheesecurd,B41 Beta,Normal,Cheesemaking,Hydrocraft
Cheese Grater,HCCheesegrater,B41 Beta,Normal,Kitchen,Hydrocraft
Cheese Making Cookbook,HCBookcheesemaking,B41 Beta,Literature,Cookbooks,Hydrocraft
Cheese Pizza,HCSimplepizza,B41 Beta,Food,Food Pizza,Hydrocraft
Cheese Rack,HCCheeserack,B41 Beta,Normal,Cheesemaking,Hydrocraft
Cheese Rack with Aged Cheddar Cheese,HCCheeserackagedcheddar,B41 Beta,Normal,Cheesemaking,Hydrocraft
Cheese Rack with Aged Cheese,HCCheeserackaged,B41 Beta,Normal,Cheesemaking,Hydrocraft
Cheese Rack with Aged Waxed Cheddar Cheese,HCCheeserackagedcheddarwaxed,B41 Beta,Normal,Cheesemaking,Hydrocraft
Cheese Rack with Cheddar Cheese,HCCheeserackfullcheddar,B41 Beta,Normal,Cheesemaking,Hydrocraft
Cheese Rack with Cheese,HCCheeserackfull,B41 Beta,Normal,Cheesemaking,Hydrocraft
Cheese Rack with Waxed Cheddar Cheese,HCCheeserackfullcheddarwaxed,B41 Beta,Normal,Cheesemaking,Hydrocraft
Cheese Ramen,HCRamencheese,B41 Beta,Food,Food Soup,Hydrocraft
Cheese Ramen Flat,HCRamenflatcheese,B41 Beta,Normal,Food Soup,Hydrocraft
Cheese Ramen Flavoring,HCRamencheeseflavor,B41 Beta,Food,Food Condiments,Hydrocraft
Cheese Ramen Noodles,HCRamennoodlebowlcheese,B41 Beta,Food,Food Soup,Hydrocraft
Cheese Sandwich,CheeseSandwich,41.1,Food,items_food,Classic
Cheese Tray,HCCheesetray,B41 Beta,Normal,Cheesemaking,Hydrocraft
Cheese Vat,HCVatcheese,B41 Beta,Normal,Cheesemaking,Hydrocraft
Cheese Wheel,HCCheesewheel,B41 Beta,Food,Cheesemaking,Hydrocraft
Chef Hat,HCChefhat,B41 Beta,Normal,Kitchen,Hydrocraft
Chef Hat,Hat_ChefHat,41.1,Clothing,clothing/clothing_hats,Classic
Chef Jacket,Jacket_Chef,41.1,Clothing,clothing/clothing_jacket,Classic
Chef Pants,Trousers_Chef,41.1,Clothing,clothing/clothing_pants,Classic
Chemical Plastic Bottle With Sodium Hydroxide,HCChemicalbottlesodiumhydroxide,B41 Beta,Normal,Alchemy,Hydrocraft
Chemistry Textbook,HCBookchemistry,B41 Beta,Literature,Books,Hydrocraft
Cherry,Cherry,41.1,Food,items_food,Classic
Cherry Candy,HCCandycherry,B41 Beta,Food,Food Candy,Hydrocraft
Cherry Jello Cubes,HCJellocherrycubes,B41 Beta,Food,Food Gelatin,Hydrocraft
Cherry Jello Dessert,HCJellocherrybowl,B41 Beta,Food,Food Gelatin,Hydrocraft
Cherry Jello Mold,HCJellocherry1cold,B41 Beta,Food,Food Gelatin,Hydrocraft
Cherry Jello Packet,HCJellopacketcherry,B41 Beta,Food,Food Gelatin,Hydrocraft
Cherry Juice,HCWhiskeycherryjuice,B41 Beta,Food,Food Juice,Hydrocraft
Cherry Juice,HCClingmugcherryjuice,B41 Beta,Food,Food Juice,Hydrocraft
Cherry Juice,HCPopbottlecherryjuice,B41 Beta,Food,Food Juice,Hydrocraft
Cherry Juice,HCRemouladecherryjuice,B41 Beta,Food,Food Juice,Hydrocraft
Cherry Juice,HCMayonnaisecherryjuice,B41 Beta,Food,Food Juice,Hydrocraft
Cherry Juice,HCWaterbottlecherryjuice,B41 Beta,Food,Food Juice,Hydrocraft
Cherry Juice Box,HCJuiceboxcherry,B41 Beta,Food,Food Juice,Hydrocraft
Cherry Pie,HCPiecherry,B41 Beta,Food,Food Pies,Hydrocraft
Cherry Popsicle,HCPopsicle7,B41 Beta,Food,Food Ice Cream,Hydrocraft
Cherry Seeds,HCCherryseeds,B41 Beta,Normal,Seeds,Hydrocraft
Cherry Seeds Packet,HCCherryseedspacket,B41 Beta,Normal,Seeds,Hydrocraft
Cherry Snack Tarts,HCSnacktartsred,B41 Beta,Food,Food Snacks,Hydrocraft
Cherry Soda,HCSodacherry,B41 Beta,Food,Food Sodapop,Hydrocraft
Cherry Tomato,HCTomatocherry,B41 Beta,Food,Food Vegetables,Hydrocraft
Chest,HCChest,B41 Beta,Container,Containers,Hydrocraft
Chestnut,HCChestnut,B41 Beta,Normal,Foraging,Hydrocraft
Cheval,HCCheval,B41 Beta,Food,Food Meat,Hydrocraft
Cheval Sausage,HCSausagecheval,B41 Beta,Food,Food Sausage,Hydrocraft
Chevril,HCChevril,B41 Beta,Food,Food Condiments,Hydrocraft
Chicken,Chicken,41.1,Food,items_food,Classic
Chicken (Female),HCChickenfemale,B41 Beta,Normal,Animals,Hydrocraft
Chicken (Male),HCChickenmale,B41 Beta,Normal,Animals,Hydrocraft
Chicken Egg,HCChickenegg,B41 Beta,Normal,Foraging,Hydrocraft
Chicken Foot,ChickenFoot,41.1,Food,items_food,Classic
Chicken Nuggets,ChickenNuggets,41.1,Food,items_food,Classic
Chicken Poop,HCChickenpoop,B41 Beta,Normal,Animals,Hydrocraft
Chicken Ramen,HCRamenchicken,B41 Beta,Food,Food Soup,Hydrocraft
Chicken Ramen Flat,HCRamenflatbeef,B41 Beta,Normal,Food Soup,Hydrocraft
Chicken Ramen Flat,HCRamenflatchicken,B41 Beta,Normal,Food Soup,Hydrocraft
Chicken Ramen Flavoring,HCRamenchickenflavor,B41 Beta,Food,Food Condiments,Hydrocraft
Chicken Ramen Noodles,HCRamennoodlebowlchicken,B41 Beta,Food,Food Soup,Hydrocraft
