itemName,shortdescription,description,price,category
inferiorbrain,Inferior Brain,A waste of brain cells.,0,craftingMaterial
ironbar,Iron Bar,Ore for iron bars is primarily found on planets orbiting gentle stars.,40,craftingMaterial
ironore,Iron Ore,Iron ore. Can be used for smelting.,20,craftingMaterial
larva,Baby Larva,"An alien, baby larva. It's small, squishy, and defenseless.",20,craftingMaterial
laserdiode,Laser Diode,It's a laser diode.,8,craftingMaterial
lead,Lead,A block of lead.,0,craftingMaterial
leather,Leather,A square of leather.,50,craftingMaterial
lightbulb3,Lightbulb,It's a lightbulb.,0,craftingMaterial
matteritem,Matter Block,A matter block. A block that matters.,0,craftingMaterial
metallic,Metal Coated Wood,A metal coating over a wood-like material.,5,craftingMaterial
moltencore,Molten Core,A very powerful molten core. Can be used to craft a metalwork station!,0,craftingMaterial
monsterplating,Hardened Monster Plate,Plating from a monster.,5,craftingMaterial
moonstoneore,Moonstone Ore,"Moonstone ore, found only on moons and often used for FTL engine construction.",0,craftingMaterial
paper,Paper,It's a sheet of paper.,0,craftingMaterial
petalblue,Blue Petal,"A blue petal, could be turned into dye.",0,craftingMaterial
petalred,Red Petal,"A red petal, could be turned into dye.",0,craftingMaterial
petalyellow,Yellow Petal,"A yellow petal, could be turned into dye.",0,craftingMaterial
plantfibre,Plant Fibre,A set of plant fibres.,0,craftingMaterial
platinumbar,Platinum Bar,It's a platinum bar.,0,Junk
platinumore,Platinum Ore,It's platinum.,0,Junk
plutoniumore,Plutonium Ore,"It's pretty, but extremely radioactive.",20,craftingMaterial
plutoniumrod,Plutonium Rod,Nobody's going to want this. It's highly radioactive.,0,Junk
polymer,Space Age Polymer,It's some space age polymer.,0,craftingMaterial
prisiliteore,Prism Shard,It's a prism shard!,20,craftingMaterial
prisilitestar,Prisilite Star,It's a prisilite star! Some of the toughest stuff in the galaxy!,0,craftingMaterial
processor,Processor,A very powerful processor.,1000,craftingMaterial
rainbowwood,Rainbow Wood,"Rainbow Wood, the most colourful wood of all.",3,craftingMaterial
reed,Reed,A bunch of cut reeds.,0,craftingMaterial
refinedaegisalt,Refined Aegisalt,Ore for refined aegisalt is primarily found on planets orbiting frozen stars.,120,craftingMaterial
refinedferozium,Refined Ferozium,Ore for refined ferozium is primarily found on planets orbiting frozen stars.,120,craftingMaterial
refinedviolium,Refined Violium,Ore for refined violium is primarily found on planets orbiting frozen stars.,120,craftingMaterial
robotarms,Robot Arms,"Strong robot arms, capable of lifting heavy objects.",0,craftingMaterial
robotchest,Robot Chest,"A robot chest, strong as steel.",0,craftingMaterial
robothead,Robot Head,"A robot head, complete with living brain!",0,craftingMaterial
robotlegs,Robot Legs,"Robot legs, for mobility!",0,craftingMaterial
screws,Screws,A handful of metal screws.,5,craftingMaterial
seaweed,Alien Seaweed,Some alien seaweed.,0,craftingMaterial
siliconboard,Silicon Board,A silicon board. Can be used to craft electronics.,50,craftingMaterial
silk,Silk,"A square of soft, lustrous silk",100,craftingMaterial
silkfibre,Silk Fibre,A bundle of silk fibres.,20,craftingMaterial
silverbar,Silver Bar,Ore for silver bars is found at moderate depths on most planets around all stars.,30,craftingMaterial
silverore,Silver Ore,It's silver. Can be used for smelting.,15,craftingMaterial
smallbattery,AA Battery,This battery can be used to power small electronic devices!,50,craftingMaterial
snowflake,Snowflake,A perfectly preserved snowflake. They say no two of these are ever the same.,0,craftingMaterial
solariumore,Solarium Ore,It's solarium. It's warm to the touch.,30,craftingMaterial
solariumstar,Solarium Star,Ore to make solarium stars is primarily found on planets orbiting fiery stars.,60,craftingMaterial
string,String,You never know when a bit of string might come in handy.,5,craftingMaterial
sulphur,Sulphur,"Sulphur, a surprisingly useful compound.",0,craftingMaterial
syntheticmaterial,Synthetic Material,A square of synthetic material.,200,craftingMaterial
syringe,Medical Syringe,This could be used for making stim packs.,5,craftingMaterial
teleportercore,Teleporter Core,"A rare, hi-tech key component of a personal teleporter.",500,craftingMaterial
thread,Thread,Thread enhanced with living root.,35,craftingMaterial
titaniumbar,Titanium Bar,Ore for titanium bars is primarily found on planets orbiting temperate stars.,80,craftingMaterial
titaniumore,Titanium Ore,It's titanium. Can be used for smelting.,40,craftingMaterial
toxicwaste,Toxic Waste,Sludge this toxic shouldn't go to waste!,0,craftingMaterial
triangliumore,Trianglium Ore,Trianglium Ore. Beautiful smooth shiny triangles.,0,craftingMaterial
tungstenbar,Tungsten Bar,Ore for tungsten bars is primarily found on planets orbiting gentle stars.,60,craftingMaterial
tungstenore,Tungsten Ore,It's tungsten. It can be used for smelting.,30,craftingMaterial
uraniumore,Uranium Ore,It's uranium. A good source of fuel.,10,craftingMaterial
uraniumrod,Uranium Rod,It's a uranium rod.,20,craftingMaterial
violiumore,Violium Ore,Violium ore. Can be used for smelting.,60,craftingMaterial
volatilepowder,Volatile Powder,"A dangerous powder, useful for crafting explosives.",0,craftingMaterial
wildvines,Wild Vines,A segment of some wild vines.,0,craftingMaterial
wire,Copper Wire,A spool of copper wire.,0,craftingMaterial
cryonicextract,Cryonic Extract,An icy organic chemical. Can be used for crafting.,50,craftingMaterial
hardenedcarapace,Hardened Carapace,A fragment of tough organic shell. Can be used for crafting.,50,craftingMaterial
livingroot,Living Root,A severed piece of evolved plant matter. Can be used for crafting.,50,craftingMaterial
phasematter,Phase Matter,A substance that appears to be almost intangible. Can be used for crafting.,50,craftingMaterial
scorchedcore,Scorched Core,The source of a creature's fiery abilities. Can be used for crafting.,50,craftingMaterial
sharpenedclaw,Sharpened Claw,A razor sharp monster claw. Can be used for crafting.,50,craftingMaterial
staticcell,Static Cell,A cluster of electrically charged cell matter. Can be used for crafting.,50,craftingMaterial
stickofram,Stick of RAM,A classic universal computer chip. Can be used for crafting.,50,craftingMaterial
venomsample,Venom Sample,A sample of volatile venomous fluid. Can be used for crafting.,50,craftingMaterial
blackdye,Black Dye,This coloured dye can be applied to a piece of armour or clothing with a right-click.,25,clothingDye
bluedye,Blue Dye,This coloured dye can be applied to a piece of armour or clothing with a right-click.,25,clothingDye
browndye,Brown Dye,This coloured dye can be applied to a piece of armour or clothing with a right-click.,25,clothingDye
dyeremover,Dye Remover,Apply this dye remover to any clothing with a right-click to restore its base colour,,clothingDye
greendye,Green Dye,This coloured dye can be applied to a piece of armour or clothing with a right-click.,25,clothingDye
greydye,Grey Dye,This coloured dye can be applied to a piece of armour or clothing with a right-click.,25,clothingDye
orangedye,Orange Dye,This coloured dye can be applied to a piece of armour or clothing with a right-click.,25,clothingDye
pinkdye,Pink Dye,This coloured dye can be applied to a piece of armour or clothing with a right-click.,25,clothingDye
purpledye,Purple Dye,This coloured dye can be applied to a piece of armour or clothing with a right-click.,25,clothingDye
reddye,Red Dye,This coloured dye can be applied to a piece of armour or clothing with a right-click.,25,clothingDye
whitedye,White Dye,This coloured dye can be applied to a piece of armour or clothing with a right-click.,25,clothingDye
yellowdye,Yellow Dye,This coloured dye can be applied to a piece of armour or clothing with a right-click.,25,clothingDye
bakedpotato,Baked Potato,"Crispy on the outside, hot as molten lava on the inside.",100,preparedFood
boiledpearlpeas,Boiled Pearlpeas,A bowl of rather bland boiled pearlpeas.,50,preparedFood
boiledrice,Boiled Rice,Light and fluffy.,75,preparedFood
bread,Bread,"Mmm, fresh out of the oven.",50,preparedFood
cookedtomato,Cooked Tomato,"Soft, sweet and juicy.",75,preparedFood
corncob,Corn Cob,A buttery ear of corn on the cob.,75,preparedFood
fishdumplings,Fish Dumplings,"Simple fish dumplings, steamed and lightly seasoned.",75,preparedFood
fishfingers,Fish Fingers,Tasty fried fish in stick form. Where's the custard?,85,preparedFood
fishnchips,Fish and Chips,Fry all the things! This is an old favorite for humans.,175,preparedFood
fishpie,Fish Pie,"Stargazy pie! Baked fish in sauce, topped with creamy mash.",300,preparedFood
fishstew,Fish Stew,A light stew that goes down easy.,200,preparedFood
mashedpotato,Mashed Potato,Smashing potatoes is scientifically proven to make them 500% tastier.,100,preparedFood
meatdumplings,Meat Dumplings,Steamed meat dumplings. Beautifully simple!,75,preparedFood
meatpie,Sheperd's Pie,"Minced meat in a rich gravy, topped with creamy mash.",300,preparedFood
meatstew,Meat Stew,Just like mama used to make!,200,preparedFood
pearlpeabroth,Pearlpea Broth,A slightly more substantial meal than just boiling pearlpeas.,100,preparedFood
pearlpearisotto,Pearlpea Risotto,Perfectly ripe pearlpeas work best for this hearty rice dish.,125,preparedFood
popcorn,Popcorn,Pop it like it's hot!,75,preparedFood
potatogrids,Potato Grids,A crispy golden exterior protects the soft and fluffy potato within.,200,preparedFood
roastedcarrot,Roasted Carrot,Roasted to perfection.,75,preparedFood
roastedmushrooms,Roasted Mushrooms,Roasting them really brings out all the flavour.,30,preparedFood
toast,Eggy Toast,"A slice of warm, eggy bread. Delicious.",75,preparedFood
applecrumble,Apple Crumble,"Sweet, stewed apple under a blanket of golden crumble.",190,preparedFood
baconpancakes,Bacon Pancakes,Pancake. Bacon. Pancake. Bacon. Pancake. Butter. Eat.,150,preparedFood
beakseedbread,Beakseed Bread,"Dense, heavy bread packed full of seeds.",165,preparedFood
beakseedjam,Beakseed Jam,Sweet and crunchy. If only there was a seedless variety.,225,preparedFood
beakseedtart,Beakseed Tart,Created out of necessity in beakseed season to make use of all the jam.,275,preparedFood
bonbonbonbons,Bon Bon Bon Bons,Eureka! The only possible way to improve on perfection is to multiply it.,225,preparedFood
bonbons,Bon Bons,Confectionery perfection.,110,preparedFood
cactusjuice,Cactus Juice,Cool as a cactus.,20,drink
cake,Cake,It's a delicious cake!,240,preparedFood
candiedcorn,Candied Corn,"It looks like the old spooky holiday treat, but there's actual corn in the centre of each morsel.",190,preparedFood
candyapple,Candy Apple,"All the nutritious value of an apple masked by globs of sweet, sweet sugar.",140,preparedFood
carrotbread,Carrot Bread,"A loaf of carrot bread. Let's be honest, it's just bread-shaped cake.",125,preparedFood
carrotcake,Carrot Cake,It's a delicious carrot cake! Tastes better than it sounds.,315,preparedFood
carrotjuice,Carrot Juice,"Carrots in liquid form. Surprisingly sweet, unsurprisingly nutritious.",75,drink
carrotsoup,Carrot Soup,"Creamy, delicious, nutritious!",225,preparedFood
cheeseburger,Cheeseburger,"A juicy hamburger, topped with cheese.",475,preparedFood
chocolatecake,Chocolate Cake,A cake made of chocolate! And other cake ingredients.,380,preparedFood
coffee,Coffee,Freshly brewed coffee.,115,drink
coffeecake,Coffee Cake,A moist cake enriched with coffee. Moreish!,350,preparedFood
cornpeckers,Corn Peckers,"Beakseed and dried corn. A common Avian trail mix, or breakfast cereal.",190,preparedFood
feathercrownjam,Feathercrown Jam,"A sweet and flavoursome preserve, precious among Avians.",265,preparedFood
featherfood,Feather Food,A traditional Avian ceremonial food eaten at celebrations.,425,preparedFood
flatwhite,Flat White Coffee,Coffee with milk.,165,drink
fluffyruffs,Fluffy Ruffs,They're ruffy and fluffy!,75,preparedFood
gardensalad,Garden Salad,A big bowl of mixed veggies. Nutritious!,225,preparedFood
hamburger,Hamburger,A juicy hamburger.,415,preparedFood
kiwijam,Kiwi Jam,Tangy and refreshing. Try it on toast!,265,preparedFood
kiwijuice,Kiwi Juice,A sweet and tropical juice made of kiwis.,150,drink
mocha,Mochaccino,A mild blend of coffee and hot chocolate.,305,drink
mushroombread,Mushroom Bread,This loaf of bread has mushrooms baked right into it. Yum!,80,preparedFood
mushroomquiche,Mushroom Quiche,A cheesy quiche packed full of fresh mushrooms.,170,preparedFood
mushroomrice,Mushroom Rice,Delicious eggy fried rice with mushrooms.,130,preparedFood
omelette,Omelette,"Easily prepared and delicious, you can't go wrong with an omelette!",145,preparedFood
pasty,Pasty,A traditional Earthling pastry meant for snacking on when underground.,250,preparedFood
pearlpeajam,Pearlpea Jam,"Commonly known as ""pearl jam"". Has a nice ring to it.",165,preparedFood
pearlpeapancakes,Pearlpea Pancakes,"They look like pancakes, but they've got an aftertaste of mushy peas.",175,preparedFood
pizza,Pizza,A whole pizza! Are you going to eat all that?,1125,preparedFood
pizzaslice,Pizza Slice,A hot slice of pepperoni pizza.,215,preparedFood
porridge,Porridge,A bowl of piping hot porridge. The healthy way to start your day.,100,preparedFood
quichelorraine,Quiche Lorraine,A classic bacon quiche. Perfect for picnics!,165,preparedFood
relish,Relish,A sharp relish to compliment savoury meaty flavours.,265,preparedFood
ricepudding,Rice Pudding,"A sweet, warm bowl of rice pudding.",240,preparedFood
roastdinner,Roast Dinner,"Just a regular roast dinner. Nothing fancy, but satisfying all the same.",250,preparedFood
specialrice,Special Fried Rice,This pleasantly filling dish leaves you with a warm feeling.,225,preparedFood
spikycookies,Spiky Cookies,"Just like normal cookies, only spikier.",255,preparedFood
stickyribs,Sticky Ribs,Sweet and sticky ribs. Delicious!,150,preparedFood
stuffedtomato,Stuffed Tomato,A baked tomato with a delicous savoury filling.,265,preparedFood
sweetmeat,Sweet Meat,A rare sweet Floran dish of candied bacon.,140,preparedFood
sweetpopcorn,Sweet Popcorn,"Freshly popped corn, with a sweet, buttery coating.",200,preparedFood
tomatojuice,Tomato Juice,A hearty tomato juice.,75,drink
tomatosoup,Tomato Soup,"A rich, silky soup made of ripe tomatoes.",225,preparedFood
2kbpotage,Wattage Potage,The most basic of Glitch cuisine.,200,preparedFood
apegrapes,Ape Grapes,A healthy mix of bananas and grapes.,300,preparedFood
apexfritter,Apex Fritter,"A crispy Apex dish. A fried corn fritter, with banana of course.",250,preparedFood
automatoshake,Automato Shake,An automato milkshake! Mmm.,150,drink
automatostew,Automato Stew,"A surprisingly tasty stew, if you watch out for the bits of metal.",250,preparedFood
bananacon,Bananacon,"With bacon, a banana and some wizardry, you get a bananacon.",175,preparedFood
bananacreamdonut,Banana Cream Donut,A delicious donut filled with banana and cream. It's almost healthy!,390,preparedFood
bananacreampie,Banana Cream Pie,"Better for eating, or for throwing in people's faces?",365,preparedFood
bananaicecream,Banana Ice Cream,"Creamy, icy, banana goodness.",315,preparedFood
batteredbanana,Battered Banana,"Your standard banana, battered and fried in a rich dough.",200,preparedFood
cactiicecream,Cacti Ice Cream,"A tasty, prickly treat!",180,preparedFood
campfirebanana,Campfire Banana,"A banana roasted over a campfire, with gratuitous amounts of chocolate.",295,preparedFood
candyautomato,Candy Automato,It's like an automato flavoured lollipop! Which is kind of weird.,215,preparedFood
choconut,Choconut,A delicious fusion of coconut and chocolate in donut form.,415,preparedFood
coconuticecream,Coconut Ice Cream,Perfect for when you're stranded on a tropical island.,195,preparedFood
coconutmilk,Coconut Drink,The best reason to crack open a coconut. The taste is amazing.,10,drink
coconutrice,Coconut Rice,"You can't see the coconut, but it's there!",100,preparedFood
desertsalsa,Desert Salsa,A refreshing salsa made from desert fruits.,630,preparedFood
fishinabone,Fish in a Bone,A whole fish shoved haphazardly inside a boneboo.,225,preparedFood
fruitsalad,Fruit Salad,Various fruits all conveniently mixed together.,650,preparedFood
grapejuice,Grape Juice,A sweet juice made of grapes.,150,drink
luckydip,Lucky Dip,Bananas and carrots mashed in a bowl makes for an Apex snacktime favorite.,225,preparedFood
pineapplejam,Pineapple Jam,A super sweet jam made of pineapples.,315,preparedFood
pineapplejuice,Pineapple Juice,"Sweet, tasty pineapple juice.",200,drink
pineapplepizzaslice,Pineapple Pizza Slice,More toppings!,340,preparedFood
snowcone,Snowcone,"One tasty snowcone, multiple flavours!",115,preparedFood
spookydonut,Spooky Donut,Too spooky.,440,preparedFood
spookypie,Spooky Pie,Just spooky enough.,250,preparedFood
stuffedautomato,Stuffed Automato,"Tastes like an actual stuffed tomato, if you can get through it without breaking your teeth!",290,preparedFood
sweetpunch,Sweet Punch,A mixture of only the sweetest of sweet fruit.,500,drink
thornjuice,Thorn Juice,More thorn than juice.,40,drink
tropicalpunch,Tropical Punch,A tropical mix that packs a punch.,530,drink
alienfruitjam,Alien Fruit Jam,Alien fruit jam. Sticky.,165,preparedFood
alienfruitjuice,Alien Fruit Juice,A pleasantly sweet juice made from an alien fruit.,50,drink
avesmingoicecream,Avesmingo Ice Cream,"Avesmingos can taste like anything! For better or worse, so can this ice cream.",350,preparedFood
avesmingojuice,Avesmingo Juice,A juice that can taste like anything!,190,drink
bananasplit,Banana Split,The secret ingredient in this Apex favourite is pineapple!,845,preparedFood
bloodypuss,Bloody Puss,"A thick, shake-like drink of meat and pussplum.",190,drink
brineapple,Brineapple,"Jellied coralcreep inside of a glazed pineapple, served warm. A fancy Hylotl treat!",325,preparedFood
cyanider,Cyanider,A mulled drink made of oculemon and pussplum. Delicious!,440,drink
oceanrisotto,Ocean Risotto,A salty and aromatic rice dish.,290,preparedFood
oceansalsa,Ocean Salsa,A refreshing salsa made from tropical and ocean fruits.,665,preparedFood
oceansurprise,Ocean Surprise,"A Hylotl dish, overloaded with ingredients of questionable oceanic origin.",340,preparedFood
oculemonmeringue,Oculemon Meringue,A sour oculemon-filled pie with a sweet meringue topping.,390,preparedFood
oculemonstew,Oculemon Stew,"A tangy, somewhat slimy stew made of oculemon and meat scraps.",515,preparedFood
pussplumjam,Pussplum Jam,Jam made from pussplum. It's surprisingly chunky.,240,preparedFood
pussplumpudding,Pussplum Pudding,"A watery rice pudding, topped with pussplum compote.",425,preparedFood
pussplumtart,Pussplum Tart,Pretty much the only good use for pussplum jam.,280,preparedFood
reefjuice,Reef Juice,A pleasantly sweet and salty juice. Refreshing!,190,drink
reefpodsurprise,Reefpod Surprise,A lot more sour than you might have expected. Surprise!,440,preparedFood
reefshake,Reefshake,A reefpod milkshake! Kids love it.,240,drink
ricecake,Rice Cake,"A simple snack formed of rice, held together by seaweed.",75,preparedFood
saltsalad,Salt Salad,"Coralcreep, reefpod and pearlpea make for a salty, crunchy salad.",365,preparedFood
seafoodgratin,Seafood Gratin,Fish baked with fish-like fruit. A fishy dish!,150,preparedFood
soggysack,Soggy Sack,Dirturchin innards stuffed into a coralcreep to make a dish that sounds terrible and tastes alright.,250,preparedFood
stuffeddirturchin,Stuffed Dirturchin,A dirturchin stuffed with pearlpeas. The taste is kind of bland...,290,preparedFood
sushi,Sushi,Delicious rolls of rice and seaweed. A Hylotl favourite.,100,preparedFood
toxicjamdonut,Toxic Jam Donut,A harmless donut filled with toxictop jam.,600,preparedFood
toxicjuice,Toxic Juice,"What do you get if you blend a toxictop with an alien fruit? That's right, you guessed it.",300,drink
toxictart,Toxic Tart,What else are you going to do with all that toxictop jam?,465,preparedFood
toxictopjam,Toxictop Jam,Jam made from toxictop fruit. But is it actually toxic to eat? Only one way to find out!,365,preparedFood
16gbpasty,Rusty Pasty,A pasty big enough to hold all your favourite metallic tasting vegetables.,450,preparedFood
8gbpizzap,Pizzap Slice,It's good if you can get past the metallic aftertaste!,365,preparedFood
boltos,Bolt O's,"Bolt O's, for when you wake up so hungry you don't care what you're putting in your mouth!",200,preparedFood
eggshooticecream,Eggshoot Ice Cream,Ice cream with the delightful taste of custard.,315,preparedFood
eggshootsalad,Eggshoot Salad,A simple yet substantial salad of eggshoot and feathercrown.,300,preparedFood
eyebowls,Eyebowls,"Oculemon stuffed inside half an eggshoot, popular hors d'oeuvres at Floran gatherings.",400,preparedFood
nutsandbolts,Nuts'n'Bolts,Assorted copper flavoured morsels.,375,preparedFood
piodia,Piodia Slice,"A variation on pizzap, it's got more of a coppery tang to it.",440,preparedFood
smash,Zmash,A famous Glitch chef tried to imitate mashed potatoes. He succeeded. Kinda.,475,preparedFood
burningeyeballs,Burning Eyeballs,"Watch out, they're super spicy!",515,preparedFood
coralcreepcurry,Coralcreep Curry,A mildly spicy curry made with the coralcreep fruit.,515,preparedFood
hotbone,Hot Bone,"Boneboo roasted with chillies makes for a crunchy, spicy Floran treat.",465,preparedFood
hothothotpot,Hot Hot Hotpot,So incredibly hot!,475,preparedFood
neonmelonjam,Neonmelon Jam,A tangy jam made from neonmelons.,465,preparedFood
pearlpeaparcels,Pearlpea Parcels,Pearlpeas wrapped neatly in a wartweed bundle.,225,preparedFood
pozest,Pozest,A popular Glitch energy drink. Or is it just a placebo?,825,drink
spicyfeathercrown,Spicy Feathercrown,Feathercrown fried with spicy chilli peppers. Hot hot hot!,415,preparedFood
spicyribs,Spicy Ribs,Sweet and spicy ribs. Delicious!,415,preparedFood
ultimatejuice,Ultimate Juice,"All the fruit, in a juice.",1200,drink
volcanicsalsa,Volcanic Salsa,A fiery salsa made from fruit and veg that can really bring the heat!,525,preparedFood
wartweedjam,Wartweed Jam,"A coarse, seedy jam that leaves behind a dry taste in your mouth.",290,preparedFood
wartweedjamdonut,Wartweed Jam Donut,Many have been fooled by this unpleasant donut's tempting appearance.,525,preparedFood
wartweedstew,Wartweed Stew,"A hearty, thick stew of wartweed and vegetables.",350,preparedFood
fakelicense1,Fake Sparrow License,Lets you permanently upgrade your ship to a bigger Sparrow-type corvette.,10000,shipLicense
fakelicense2,Fake Kestrel License,Lets you permanently upgrade your ship to a bigger Kestrel-type corvette.,20000,shipLicense
fakelicense3,Fake Falcon License,Lets you permanently upgrade your ship to a bigger Falcon-type cruiser.,40000,shipLicense
fakelicense4,Fake Eagle License,Lets you permanently upgrade your ship to a bigger Eagle-type cruiser.,80000,shipLicense
fakelicense5,Fake Condor License,Lets you permanently upgrade your ship to a bigger Condor-type dreadnought.,150000,shipLicense
license1,Sparrow License,Qualifies the bearer to fly Sparrow class ships.,,shipLicense
license2,Kestrel License,Qualifies the bearer to fly Kestrel class ships.,,shipLicense
license3,Falcon License,Qualifies the bearer to fly Falcon class ships.,,shipLicense
license4,Eagle License,Qualifies the bearer to fly Eagle class ships.,,shipLicense
license5,Condor License,Qualifies the bearer to fly Condor class ships.,,shipLicense
rawbacon,Raw Bacon,"Raw strips of bacon. I should cook them first, right?",20,food
cookedalienmeat,Cooked Steak,A slab of delicious cooked alien meat.,25,food
cookedbacon,Cooked Bacon,"Salty, crispy alien bacon.",25,food
cookedfish,Cooked Fish,A tasty fillet of cooked fish.,25,food
cookedham,Cooked Ham,A haunch of roasted alien ham.,40,food
cookedpoultry,Cooked Poultry,A perfeclty roasted bird. What a beautiful sight to behold.,25,food
cookedribmeat,Cooked Ribs,Pass the barbecue sauce!,40,food
cookedtentacle,Cooked Tentacle,Chewy... But in a nice way.,40,food
alienmeat,Raw Steak,"A raw slab of weird, stringy alien meat. Maybe I should cook it.",4,food
rawfish,Raw Fish,A fillet of raw fish...slimy.,20,food
rawham,Raw Ham,Raw ham. It's probably best if I cook it first.,30,food
rawpoultry,Raw Poultry,Raw poultry. Might wanna cook it first...,20,food
rawribmeat,Raw Ribs,Raw meat cut from some unfortunate creature's ribs. Sounds tasty but it should be cooked.,30,food
rawtentacle,Raw Tentacle,A raw tentacle. Might be more edible if it's cooked...,20,food
antidote,Poison Antidote,Protect your body from poisons.,100,medicine
autochip,Auto Chip,A crucial component of vehicle repair.,100,upgradeComponent
autodrive,Auto Drive,An auto drive. In the future I can use this to power vehicles.,,upgradeComponent
bandage,Bandage,A bandage for healing minor wounds. Restores 50 health over 1 second.,25,medicine
bluestim,Blue Stim Pack,"A stimpack full of blue liquid, it gives your jump a boost!",100,medicine
bottledhealingwater,Bottled Healing Water,The restorative power of this water is incredible.,25,medicine
bottledwater,Bottled Water,"Fresh, clean water. Soothing and rejuvenating.",20,drink
burnspray,Burn Resistance Spray,Protect your body from burns.,100,medicine
comedyscript,Comedy Script,"A creased, stained piece of paper with terrible jokes written on it.",,quest
dubloon,Dubloon,A contractual token accepted by Penguin Mercenaries at the Beakeasy Bar.,5000,currency
fungusstim,Fungus Stim,This stim has natural healing properties.,0,medicine
grassremedy,Grass Remedy,"A concoction of natural elements, it provides healing properties.",0,medicine
greenstim,Green Stim Pack,"A stimpack full of green liquid, gives your run a boost!",100,medicine
manipulatormodule,Manipulator Module,This module can be used to upgrade a matter manipulator!,1000,upgradeComponent
medkit,Medical Kit,"Restores 100 health over 10 seconds, and instantly cures most status effects.",60,medicine
mysteriousashes,Mysterious Ashes,This is all that remains of the trash bag's mysterious contents.,,quest
mysterioustrashbag,Mysterious Trash Bag,This bag feels oddly squishy to the touch. I wonder what's inside.,,quest
nanowrap,Nanowrap Bandage,This bandage knits wounds together fast. Restores 100 health over 1 second.,150,medicine
orangestim,Orange Stim Pack,"A stimpack full of orange liquid, it will get you all fired up!",20,medicine
parcel,Parcel,"Somebody else's parcel, wrapped up nicely with ribbon!",,quest
protectorateflyer,Graduation Flyer,This flyer commemorates the Protectorate's graduation ceremony.,,junk
redstim,Red Stim Pack,"A stimpack full of red liquid, grants brief but powerful regeneration!",100,medicine
rottenfood,Rotten Food,Gross. There's absolutely no way this is still edible.,0,foodJunk
salve,Salve,A salve for healing minor wounds. Restores 50 health over 10 seconds.,10,medicine
secretnote,Secret Note,A note with a secret message on it.,,quest
sheetmusic,Sheet Music,A piece of sheet music. I wonder what tune this is.,,quest
shroomremedy,Shroom Remedy,A concoction that seems to provide natural regeneration.,0,medicine
soggypaper,Soggy Paper,Why would I take this useless trash?,,junk
solidfuel,Crystal Erchius Fuel,"An unstable crystalline substance, mined from moons and used as FTL fuel.",10,fuel
synthesisstim,Synthesis Stim,This stim is full of tree sap. It has beneficial healing properties.,0,medicine
techcard,Tech Card,A blank tech card. With enough of these I can develop enhanced techs.,1250,upgradeComponent
translator1,Left Translation Wheel,One half of an ancient wheel made for translating runes.,0,quest
translator2,Right Translation Wheel,One half of an ancient wheel made for translating runes.,0,quest
upgrademodule,Upgrade Module,These modules can be used to upgrade ships and other useful equipment.,1500,upgradeComponent
valentinechocolates,Box of Chocolates,A heart shaped box with themed chocolates inside!,150,food
voxel10k,10k Voxel,10000 pixels compressed into a voxel. Decompress it to get those pixels back.,10000,currency
voxel1k,1k Voxel,1000 pixels compressed into a voxel. Decompress it to get those pixels back.,1000,currency
voxel2k,2k Voxel,2000 pixels compressed into a voxel. Decompress it to get those pixels back.,2000,currency
voxel5k,5k Voxel,5000 pixels compressed into a voxel. Decompress it to get those pixels back.,5000,currency
winningticket,Winning Ticket,"These are awarded to people who beat the game ""Mazebound64"".",,quest
yellowstim,Yellow Stim Pack,"A stimpack full of yellow liquid, this'll make you glow!",50,medicine
alienfruit,Alien Fruit,"An alien fruit, very juicy.",40,food
automato,Automato,Automatoes! Be sure to spit out the screws.,80,food
avesmingo,Avesmingo,"Avesmingo, the plant of a 100 different flavours.",150,food
banana,Banana,A genetically enhanced banana.,120,food
beakseed,Beakseed,Beakseed. Mmm crunchy.,90,food
boltbulb,Boltbulb,Boltbulb! Surprisingly soft.,120,food
boneboo,Boneboo,Spooky.,160,food
cacti,Cactus,"Spiky, succulent cacti.",15,cookingIngredient
carrot,Carrot,Mmm crunchy.,60,food
chili,Chilli,"Super hot to humans, super, super hot to everyone else.",210,food
cocoa,Cocoa Pod,A large pod packed full of rich cocoa beans. Grind it up and you've got chocolate!,90,cookingIngredient
coffeebeans,Coffee Beans,Bitter coffee beans.,90,food
coralcreep,Coralcreep,"The coralcreep fruit turns red when cooked, like a lobster.",100,food
corn,Corn,"Sweet and corny, good for digestion!",60,food
crystalplant,Crystal Plant,A plant formed of crystal. Magical!,0,cookingIngredient
currentcorn,Currentcorn,"Grows currentcorn, full of acid. Not good for fleshy creatures.",80,food
diodia,Diodia,"Diodia, tastes like copper.",180,food
dirturchin,Dirturchin,Kind of squidgy and a bit tasteless.,100,food
eggshoot,Eggshoot,"Eggshoot, soft-boiled in texture. Break it open to find a yolk.",120,food
feathercrown,Feathercrown,"Feathercrown, you have to pluck it before consuming.",120,food
grapes,Grapes,"Grapes, nature's snackfood.",120,food
greenapple,Green Apple,"A tart green apple, ripe for baking or consuming with my face!",20,food
kelp,Kelp,Squishy and slimy kelp.,0,cookingIngredient
kiwi,Kiwi,"Soft texture and sweet flavour, yum.",120,food
neonmelon,Neonmelon,A slice of bubblegum flavoured neonmelon.,280,food
oculemon,Oculemon,Sour but so worth it.,200,food
orange,Orange,It's an orange.,20,food
